trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
R8_10_R8_TOYODA_P1_01_weekday_F2_855,09:21:00,09:21:00,122_01,23,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F2_855,09:22:00,09:22:00,123_01,24,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F2_855,09:23:00,09:23:00,124_01,25,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F2_855,09:24:00,09:24:00,125_01,26,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F2_855,09:25:00,09:25:00,126_01,27,隠岐汽船乗り場,1,0,1
R8_10_R8_TOYODA_P1_01_weekday_F3_1025,10:25:00,10:25:00,100_01,1,東車庫前,0,1,1
R8_10_R8_TOYODA_P1_01_weekday_F3_1025,10:35:00,10:35:00,109_01,2,東車庫前,1,0,1
R8_10_R8_TOYODA_P1_01_weekday_F4_1220,12:20:00,12:20:00,100_01,1,隠岐汽船乗り場,0,1,1
R8_10_R8_TOYODA_P1_01_weekday_F4_1220,12:21:00,12:21:00,101_01,2,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F4_1220,12:23:00,12:23:00,102_01,3,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F4_1220,12:26:00,12:26:00,103_01,4,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F4_1220,12:28:00,12:28:00,104_01,5,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F4_1220,12:29:00,12:29:00,105_01,6,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F4_1220,12:31:00,12:31:00,106_01,7,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F4_1220,12:32:00,12:32:00,107_01,8,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F4_1220,12:33:00,12:33:00,108_01,9,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F4_1220,12:35:00,12:35:00,109_01,10,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F4_1220,12:36:00,12:36:00,110_01,11,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F4_1220,12:36:00,12:36:00,111_01,12,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F4_1220,12:37:00,12:37:00,112_01,13,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F4_1220,12:38:00,12:38:00,113_01,14,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F4_1220,12:39:00,12:39:00,114_01,15,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F4_1220,12:40:00,12:40:00,115_01,16,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F4_1220,12:41:00,12:41:00,116_01,17,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F4_1220,12:41:00,12:41:00,117_01,18,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F4_1220,12:42:00,12:42:00,118_01,19,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F4_1220,12:43:00,12:43:00,119_01,20,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F4_1220,12:44:00,12:44:00,120_01,21,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F4_1220,12:45:00,12:45:00,121_01,22,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F4_1220,12:46:00,12:46:00,122_01,23,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F4_1220,12:47:00,12:47:00,123_01,24,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F4_1220,12:48:00,12:48:00,124_01,25,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F4_1220,12:49:00,12:49:00,125_01,26,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F4_1220,12:50:00,12:50:00,126_01,27,隠岐汽船乗り場,1,0,1
R8_10_R8_TOYODA_P1_01_weekday_F5_1425,14:25:00,14:25:00,100_01,1,隠岐汽船乗り場,0,1,1
R8_10_R8_TOYODA_P1_01_weekday_F5_1425,14:26:00,14:26:00,101_01,2,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F5_1425,14:28:00,14:28:00,102_01,3,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F5_1425,14:31:00,14:31:00,103_01,4,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F5_1425,14:33:00,14:33:00,108_01,5,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F5_1425,14:35:00,14:35:00,109_01,6,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F5_1425,14:36:00,14:36:00,110_01,7,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F5_1425,14:36:00,14:36:00,111_01,8,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F5_1425,14:37:00,14:37:00,112_01,9,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F5_1425,14:38:00,14:38:00,113_01,10,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F5_1425,14:39:00,14:39:00,114_01,11,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F5_1425,14:40:00,14:40:00,115_01,12,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F5_1425,14:41:00,14:41:00,116_01,13,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F5_1425,14:41:00,14:41:00,117_01,14,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F5_1425,14:42:00,14:42:00,118_01,15,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F5_1425,14:43:00,14:43:00,119_01,16,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F5_1425,14:44:00,14:44:00,120_01,17,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F5_1425,14:45:00,14:45:00,121_01,18,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F5_1425,14:46:00,14:46:00,122_01,19,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F5_1425,14:47:00,14:47:00,123_01,20,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F5_1425,14:48:00,14:48:00,124_01,21,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F5_1425,14:49:00,14:49:00,125_01,22,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F5_1425,14:50:00,14:50:00,126_01,23,隠岐汽船乗り場,1,0,1
R8_10_R8_TOYODA_P1_01_weekday_F6_1610,16:10:00,16:10:00,100_01,1,隠岐汽船乗り場,0,1,1
R8_10_R8_TOYODA_P1_01_weekday_F6_1610,16:11:00,16:11:00,101_01,2,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F6_1610,16:13:00,16:13:00,102_01,3,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F6_1610,16:16:00,16:16:00,103_01,4,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F6_1610,16:18:00,16:18:00,108_01,5,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F6_1610,16:20:00,16:20:00,109_01,6,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F6_1610,16:21:00,16:21:00,110_01,7,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F6_1610,16:21:00,16:21:00,111_01,8,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F6_1610,16:22:00,16:22:00,112_01,9,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F6_1610,16:23:00,16:23:00,113_01,10,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F6_1610,16:24:00,16:24:00,114_01,11,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F6_1610,16:25:00,16:25:00,115_01,12,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F6_1610,16:26:00,16:26:00,116_01,13,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F6_1610,16:27:00,16:27:00,120_01,14,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F6_1610,16:28:00,16:28:00,121_01,15,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F6_1610,16:29:00,16:29:00,122_01,16,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F6_1610,16:30:00,16:30:00,123_01,17,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F6_1610,16:31:00,16:31:00,124_01,18,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F6_1610,16:32:00,16:32:00,125_01,19,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F6_1610,16:33:00,16:33:00,126_01,20,隠岐汽船乗り場,1,0,1
R8_10_R8_TOYODA_P1_01_weekday_F7_1715,17:15:00,17:15:00,100_01,1,隠岐汽船乗り場,0,1,1
R8_10_R8_TOYODA_P1_01_weekday_F7_1715,17:16:00,17:16:00,101_01,2,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F7_1715,17:18:00,17:18:00,102_01,3,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F7_1715,17:21:00,17:21:00,103_01,4,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F7_1715,17:23:00,17:23:00,104_01,5,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F7_1715,17:24:00,17:24:00,105_01,6,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F7_1715,17:26:00,17:26:00,106_01,7,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F7_1715,17:27:00,17:27:00,107_01,8,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F7_1715,17:28:00,17:28:00,108_01,9,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F7_1715,17:30:00,17:30:00,109_01,10,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F7_1715,17:31:00,17:31:00,110_01,11,隠岐汽船乗り場,0,0,1
