route_id,service_id,trip_id,trip_headsign,direction_id,block_id,trip_short_name,shape_id,jp_trip_desc,jp_pattern_id
NISHINOSHIMA_UGA,star_weekday_plus_summer,T01_UGA_0707,宇賀,0,,宇賀線,,三度・珍崎・国賀・浦郷から別府・島前病院・大山・宇賀方面行き,T01_UGA_0707
NISHINOSHIMA_MAIN,star_weekday_plus_summer,T02_MAIN_0653,大山,0,,1便,,三度・珍崎・国賀・浦郷から別府・島前病院・大山・宇賀方面行き,T02_MAIN_0653
NISHINOSHIMA_MAIN,star_base_only,T02_MAIN_0653_STAR_BASE,隠岐汽船（別府港）,0,,1便,,赤ノ江から隠岐汽船（別府港）方面行き（★区間運休日）,T02_MAIN_0653_STAR_BASE
NISHINOSHIMA_CHINZAKI_SANDO,star_weekday_plus_summer,T03_CHINZAKI_SANDO_0725,浦郷,0,,珍崎線・三度線,,三度・珍崎から浦郷方面行き,T03_CHINZAKI_SANDO_0725
NISHINOSHIMA_MAIN,daily,T04_MAIN_0741,島前病院,0,,2便,,浦郷から別府・島前病院方面行き,T04_MAIN_0741
NISHINOSHIMA_MAIN,daily,T05_MAIN_0930,島前病院,0,,3便,,赤ノ江から別府・島前病院方面行き,T05_MAIN_0930
NISHINOSHIMA_UGA,star_weekday_plus_summer,T06_UGA_1010,宇賀,0,,4便,,浦郷から宇賀方面行き,T06_UGA_1010
NISHINOSHIMA_UGA,star_base_only,T06_UGA_1010_STAR_BASE,隠岐汽船（別府港）,0,,4便,,浦郷から隠岐汽船（別府港）方面行き（★区間運休日）,T06_UGA_1010_STAR_BASE
NISHINOSHIMA_KUNIGA,kuniga_spring_fall_star_on,T07_KUNIGA_1127,大山,0,,5便,,国賀から大山方面行き,T07_KUNIGA_1127
NISHINOSHIMA_KUNIGA,kuniga_spring_fall_star_off,T07_KUNIGA_1127_STAR_BASE,隠岐汽船（別府港）,0,,5便,,国賀から隠岐汽船（別府港）方面行き（★区間運休日）,T07_KUNIGA_1127_STAR_BASE
NISHINOSHIMA_KUNIGA,kuniga_spring_fall_base_star_on,T07_KUNIGA_1127_KUNIGA_BASE,大山,0,,5便,,由良車庫から大山方面行き（◎区間運休期間）,T07_KUNIGA_1127_KUNIGA_BASE
NISHINOSHIMA_KUNIGA,kuniga_spring_fall_base_star_off,T07_KUNIGA_1127_BASE,隠岐汽船（別府港）,0,,5便,,由良車庫から隠岐汽船（別府港）方面行き（◎・★区間運休日）,T07_KUNIGA_1127_BASE
NISHINOSHIMA_CHINZAKI_SANDO,star_weekday_plus_summer,T08_CHINZAKI_SANDO_1245,浦郷,0,,珍崎線・三度線,,三度・珍崎から浦郷方面行き,T08_CHINZAKI_SANDO_1245
NISHINOSHIMA_KUNIGA,kuniga_summer,T09_KUNIGA_1258,島前病院,0,,6便,,国賀から島前病院方面行き,T09_KUNIGA_1258
NISHINOSHIMA_KUNIGA,kuniga_summer_base,T09_KUNIGA_1258_BASE,島前病院,0,,6便,,由良車庫から島前病院方面行き,T09_KUNIGA_1258_BASE
NISHINOSHIMA_KUNIGA,kuniga_spring_fall_star_on,T10_KUNIGA_1441,大山,0,,7便,,国賀から大山方面行き,T10_KUNIGA_1441
NISHINOSHIMA_KUNIGA,kuniga_spring_fall_star_off,T10_KUNIGA_1441_STAR_BASE,隠岐汽船（別府港）,0,,7便,,国賀から隠岐汽船（別府港）方面行き（★区間運休日）,T10_KUNIGA_1441_STAR_BASE
NISHINOSHIMA_KUNIGA,kuniga_spring_fall_base_star_on,T10_KUNIGA_1441_KUNIGA_BASE,大山,0,,7便,,由良車庫から大山方面行き（◎区間運休期間）,T10_KUNIGA_1441_KUNIGA_BASE
