service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
令和6年1月2日～3月10日（平日）,1,1,1,1,1,0,0,20240323,20241231
令和6年1月2日～3月10日（土日祝）,0,0,0,0,0,1,1,20240323,20241231
令和6年3月11日～8月31日（平日）,1,1,1,1,1,0,0,20240323,20241231
令和6年3月11日～8月31日（土日祝）,0,0,0,0,0,1,1,20240323,20241231
令和6年9月1日～12月31日（平日）,1,1,1,1,1,0,0,20240323,20241231
令和6年9月1日～12月31日（土日祝）,0,0,0,0,0,1,1,20240323,20241231
令和6年3月11日～12月31日（平日）,1,1,1,1,1,0,0,20240323,20241231
令和6年3月11日～12月31日（土日祝）,0,0,0,0,0,1,1,20240323,20241231
