route_id,service_id,trip_id,trip_headsign,direction_id,block_id,trip_short_name,shape_id,jp_trip_desc,jp_pattern_id
22,令和6年9月1日～12月31日（平日）,5令和6年9月1日～12月31日（平日）_07時26分_系統223101,役場前,0,,,,,223101
23,令和6年3月11日～8月31日（平日）,3令和6年3月11日～8月31日（平日）_08時10分_系統232101,東車庫前,0,,,,,232101
23,令和6年3月11日～8月31日（土日祝）,4令和6年3月11日～8月31日（土日祝）_08時10分_系統232201,東車庫前,0,,,,,232201
24,令和6年3月11日～8月31日（平日）,3令和6年3月11日～8月31日（平日）_11時55分_系統242101,役場前,0,,,,,242101
24,令和6年9月1日～12月31日（平日）,5令和6年9月1日～12月31日（平日）_11時55分_系統243101,役場前,0,,,,,243101
25,令和6年3月11日～8月31日（平日）,3令和6年3月11日～8月31日（平日）_12時35分_系統252101,東車庫前,0,,,,,252101
25,令和6年3月11日～8月31日（土日祝）,4令和6年3月11日～8月31日（土日祝）_12時35分_系統252201,東車庫前,0,,,,,252201
25,令和6年9月1日～12月31日（平日）,5令和6年9月1日～12月31日（平日）_12時35分_系統253101,東車庫前,0,,,,,253101
25,令和6年9月1日～12月31日（土日祝）,6令和6年9月1日～12月31日（土日祝）_12時35分_系統253201,東車庫前,0,,,,,253201
26,令和6年3月11日～8月31日（平日）,3令和6年3月11日～8月31日（平日）_15時30分_系統262101,隠岐汽船乗り場,0,,,,,262101
26,令和6年3月11日～8月31日（土日祝）,4令和6年3月11日～8月31日（土日祝）_15時30分_系統262201,隠岐汽船乗り場,0,,,,,262201
26,令和6年9月1日～12月31日（平日）,5令和6年9月1日～12月31日（平日）_15時30分_系統263101,隠岐汽船乗り場,0,,,,,263101
26,令和6年9月1日～12月31日（土日祝）,6令和6年9月1日～12月31日（土日祝）_15時30分_系統263201,隠岐汽船乗り場,0,,,,,263201
27,令和6年3月11日～8月31日（平日）,3令和6年3月11日～8月31日（平日）_17時35分_系統272101,東車庫前,0,,,,,272101
27,令和6年3月11日～8月31日（土日祝）,4令和6年3月11日～8月31日（土日祝）_17時35分_系統272201,東車庫前,0,,,,,272201
27,令和6年9月1日～12月31日（平日）,5令和6年9月1日～12月31日（平日）_17時35分_系統273101,東車庫前,0,,,,,273101
27,令和6年9月1日～12月31日（土日祝）,6令和6年9月1日～12月31日（土日祝）_17時35分_系統273201,東車庫前,0,,,,,273201
28,令和6年9月1日～12月31日（平日）,5令和6年9月1日～12月31日（平日）_08時10分_系統283101,東車庫前,0,,,,,283101
29,令和6年9月1日～12月31日（土日祝）,6令和6年9月1日～12月31日（土日祝）_08時15分_系統293201,東車庫前,0,,,,,293201
